chorus_path,title,artist,rank,year,popularity,file_path
choruss\Truth Hurts_chorus.wav,Truth Hurts,Lizzo,13,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Truth Hurts.mp3
choruss\Dancing With A Stranger_chorus.wav,Dancing With A Stranger,Sam Smith & Normani,14,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Dancing With A Stranger.mp3
choruss\Senorita_chorus.wav,Senorita,Shawn Mendes & Camila Cabello,15,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Senorita.mp3
choruss\I Don't Care_chorus.wav,I Don't Care,Ed Sheeran & Justin Bieber,16,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\I Don't Care.mp3
choruss\Eastside_chorus.wav,Eastside,"benny blanco, Halsey & Khalid",17,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Eastside.mp3
choruss\Going Bad_chorus.wav,Going Bad,Meek Mill Featuring Drake,18,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Going Bad.mp3
choruss\Shallow_chorus.wav,Shallow,Lady Gaga & Bradley Cooper,19,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Shallow.mp3
choruss\Better_chorus.wav,Better,Khalid,20,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Better.mp3
choruss\No Guidance_chorus.wav,No Guidance,Chris Brown Featuring Drake,21,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\No Guidance.mp3
choruss\Girls Like You_chorus.wav,Girls Like You,Maroon 5 Featuring Cardi B,22,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Girls Like You.mp3
choruss\Sweet But Psycho_chorus.wav,Sweet But Psycho,Ava Max,23,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Sweet But Psycho.mp3
choruss\Suge_chorus.wav,Suge,DaBaby,24,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Suge.mp3
choruss\Middle Child_chorus.wav,Middle Child,J. Cole,25,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Middle Child.mp3
choruss\Drip Too Hard_chorus.wav,Drip Too Hard,Lil Baby & Gunna,26,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Drip Too Hard.mp3
choruss\Someone You Loved_chorus.wav,Someone You Loved,Lewis Capaldi,27,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Someone You Loved.mp3
choruss\Ran$om_chorus.wav,Ran$om,Lil Tecca,28,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Ran$om.mp3
choruss\If I Can't Have You_chorus.wav,If I Can't Have You,Shawn Mendes,29,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\If I Can't Have You.mp3
,Goodbyes,Post Malone Featuring Young Thug,30,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Goodbyes.mp3
choruss\ZEZE_chorus.wav,ZEZE,Kodak Black Featuring Travis Scott & Offset,31,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\ZEZE.mp3
choruss\Better Now_chorus.wav,Better Now,Post Malone,32,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Better Now.mp3
choruss\Youngblood_chorus.wav,Youngblood,5 Seconds Of Summer,33,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Youngblood.mp3
choruss\Money In The Grave_chorus.wav,Money In The Grave,Drake Featuring Rick Ross,34,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Money In The Grave.mp3
choruss\Speechless_chorus.wav,Speechless,Dan + Shay,35,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Speechless.mp3
"choruss\Break Up With Your Girlfriend, I'm Bored_chorus.wav","Break Up With Your Girlfriend, I'm Bored",Ariana Grande,36,2019,Not Popular,"C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Break Up With Your Girlfriend, I'm Bored.mp3"
choruss\Please Me_chorus.wav,Please Me,Cardi B & Bruno Mars,37,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Please Me.mp3
choruss\Money_chorus.wav,Money,Cardi B,38,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Money.mp3
choruss\You Need To Calm Down_chorus.wav,You Need To Calm Down,Taylor Swift,39,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\You Need To Calm Down.mp3
choruss\Panini_chorus.wav,Panini,Lil Nas X,40,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Panini.mp3
choruss\Look Back At It_chorus.wav,Look Back At It,A Boogie Wit da Hoodie,41,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Look Back At It.mp3
choruss\A Lot_chorus.wav,A Lot,21 Savage,42,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\A Lot.mp3
choruss\ME!_chorus.wav,ME!,Taylor Swift Featuring Brendon Urie,43,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\ME!.mp3
choruss\MIA_chorus.wav,MIA,Bad Bunny Featuring Drake,44,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\MIA.mp3
choruss\Pop Out_chorus.wav,Pop Out,Polo G Featuring Lil Tjay,45,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Pop Out.mp3
choruss\Beautiful Crazy_chorus.wav,Beautiful Crazy,Luke Combs,46,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Beautiful Crazy.mp3
choruss\Thotiana_chorus.wav,Thotiana,Blueface,47,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Thotiana.mp3
choruss\Lucid Dreams_chorus.wav,Lucid Dreams,Juice WRLD,48,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Lucid Dreams.mp3
choruss\Mo Bamba_chorus.wav,Mo Bamba,Sheck Wes,49,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Mo Bamba.mp3
choruss\Beautiful People_chorus.wav,Beautiful People,Ed Sheeran Featuring Khalid,50,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Beautiful People.mp3
choruss\Wake Up In The Sky_chorus.wav,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,51,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Wake Up In The Sky.mp3
choruss\Whiskey Glasses_chorus.wav,Whiskey Glasses,Morgan Wallen,52,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Whiskey Glasses.mp3
choruss\God's Country_chorus.wav,God's Country,Blake Shelton,53,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\God's Country.mp3
choruss\Be Alright_chorus.wav,Be Alright,Dean Lewis,54,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Be Alright.mp3
choruss\Pure Water_chorus.wav,Pure Water,Mustard & Migos,55,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Pure Water.mp3
choruss\The Git Up_chorus.wav,The Git Up,Blanco Brown,56,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\The Git Up.mp3
choruss\Taki Taki_chorus.wav,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",57,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Taki Taki.mp3
choruss\Close To Me_chorus.wav,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,58,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Close To Me.mp3
choruss\Envy Me_chorus.wav,Envy Me,Calboy,59,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Envy Me.mp3
choruss\You Say_chorus.wav,You Say,Lauren Daigle,60,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\You Say.mp3
"choruss\Hey Look Ma, I Made It_chorus.wav","Hey Look Ma, I Made It",Panic! At The Disco,61,2019,Not Popular,"C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Hey Look Ma, I Made It.mp3"
choruss\Circles_chorus.wav,Circles,Post Malone,62,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Circles.mp3
choruss\Beer Never Broke My Heart_chorus.wav,Beer Never Broke My Heart,Luke Combs,63,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Beer Never Broke My Heart.mp3
choruss\The London_chorus.wav,The London,"Young Thug, J. Cole & Travis Scott",64,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\The London.mp3
choruss\Con Calma_chorus.wav,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,65,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Con Calma.mp3
choruss\Murder On My Mind_chorus.wav,Murder On My Mind,YNW Melly,66,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Murder On My Mind.mp3
choruss\When The Party's Over_chorus.wav,When The Party's Over,Billie Eilish,67,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\When The Party's Over.mp3
choruss\Act Up_chorus.wav,Act Up,City Girls,68,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Act Up.mp3
choruss\I Like It_chorus.wav,I Like It,"Cardi B, Bad Bunny & J Balvin",69,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\I Like It.mp3
choruss\Trampoline_chorus.wav,Trampoline,SHAED,70,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Trampoline.mp3
choruss\Leave Me Alone_chorus.wav,Leave Me Alone,Flipp Dinero,71,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Leave Me Alone.mp3
choruss\Breathin_chorus.wav,Breathin,Ariana Grande,72,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Breathin.mp3
choruss\Bury A Friend_chorus.wav,Bury A Friend,Billie Eilish,73,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Bury A Friend.mp3
choruss\Close Friends_chorus.wav,Close Friends,Lil Baby,74,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Close Friends.mp3
,Baby Shark,Pinkfong,75,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Baby Shark.mp3
choruss\My Type_chorus.wav,My Type,Saweetie,76,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\My Type.mp3
choruss\Worth It_chorus.wav,Worth It,YK Osiris,77,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Worth It.mp3
choruss\Only Human_chorus.wav,Only Human,Jonas Brothers,78,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Only Human.mp3
choruss\Knockin' Boots_chorus.wav,Knockin' Boots,Luke Bryan,79,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Knockin' Boots.mp3
choruss\Trip_chorus.wav,Trip,Ella Mai,80,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Trip.mp3
choruss\Rumor_chorus.wav,Rumor,Lee Brice,81,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Rumor.mp3
choruss\Swervin_chorus.wav,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,82,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Swervin.mp3
,How Do You Sleep?,Sam Smith,83,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\How Do You Sleep?.mp3
choruss\Baby_chorus.wav,Baby,Lil Baby & DaBaby,84,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Baby.mp3
choruss\Look What God Gave Her_chorus.wav,Look What God Gave Her,Thomas Rhett,85,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Look What God Gave Her.mp3
choruss\Good As You_chorus.wav,Good As You,Kane Brown,86,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Good As You.mp3
choruss\Clout_chorus.wav,Clout,Offset Featuring Cardi B,87,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Clout.mp3
choruss\Love Lies_chorus.wav,Love Lies,Khalid & Normani,88,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Love Lies.mp3
choruss\One Thing Right_chorus.wav,One Thing Right,Marshmello & Kane Brown,89,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\One Thing Right.mp3
choruss\Cash Shit_chorus.wav,Cash Shit,Megan Thee Stallion Featuring DaBaby,90,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Cash Shit.mp3
choruss\Tequila_chorus.wav,Tequila,Dan + Shay,91,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Tequila.mp3
choruss\Shotta Flow_chorus.wav,Shotta Flow,NLE Choppa,92,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Shotta Flow.mp3
choruss\Hot Girl Summer_chorus.wav,Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",93,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Hot Girl Summer.mp3
choruss\Talk You Out Of It_chorus.wav,Talk You Out Of It,Florida Georgia Line,94,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Talk You Out Of It.mp3
choruss\Beautiful_chorus.wav,Beautiful,Bazzi Featuring Camila Cabello,95,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Beautiful.mp3
,Eyes On You,Chase Rice,96,2019,Not Popular,
choruss\All To Myself_chorus.wav,All To Myself,Dan + Shay,97,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\All To Myself.mp3
choruss\Boyfriend_chorus.wav,Boyfriend,Ariana Grande & Social House,98,2019,Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Boyfriend.mp3
choruss\Walk Me Home_chorus.wav,Walk Me Home,P!nk,99,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Walk Me Home.mp3
choruss\Robbery_chorus.wav,Robbery,Juice WRLD,100,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Robbery.mp3
choruss\Blinding Lights_chorus.wav,Blinding Lights,The Weeknd,1,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Blinding Lights.mp3
choruss\Circles_chorus.wav,Circles,Post Malone,2,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Circles.mp3
choruss\The Box_chorus.wav,The Box,Roddy Ricch,3,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\The Box.mp3
choruss\Don't Start Now_chorus.wav,Don't Start Now,Dua Lipa,4,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Don't Start Now.mp3
choruss\Rockstar_chorus.wav,Rockstar,DaBaby Featuring Roddy Ricch,5,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Rockstar.mp3
choruss\Adore You_chorus.wav,Adore You,Harry Styles,6,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Adore You.mp3
choruss\Life Is Good_chorus.wav,Life Is Good,Future Featuring Drake,7,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Life Is Good.mp3
choruss\Memories_chorus.wav,Memories,Maroon 5,8,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Memories.mp3
choruss\The Bones_chorus.wav,The Bones,Maren Morris,9,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\The Bones.mp3
choruss\Someone You Loved_chorus.wav,Someone You Loved,Lewis Capaldi,10,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Someone You Loved.mp3
choruss\Say So_chorus.wav,Say So,Doja Cat,11,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Say So.mp3
choruss\I Hope_chorus.wav,I Hope,Gabby Barrett Featuring Charlie Puth,12,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\I Hope.mp3
choruss\Whats Poppin_chorus.wav,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",13,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Whats Poppin.mp3
choruss\Dance Monkey_chorus.wav,Dance Monkey,Tones And I,14,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Dance Monkey.mp3
choruss\Savage_chorus.wav,Savage,Megan Thee Stallion,15,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Savage.mp3
choruss\Roxanne_chorus.wav,Roxanne,Arizona Zervas,16,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Roxanne.mp3
choruss\Intentions_chorus.wav,Intentions,Justin Bieber Featuring Quavo,17,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Intentions.mp3
choruss\Everything I Wanted_chorus.wav,Everything I Wanted,Billie Eilish,18,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Everything I Wanted.mp3
choruss\Roses_chorus.wav,Roses,SAINt JHN,19,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Roses.mp3
choruss\Watermelon Sugar_chorus.wav,Watermelon Sugar,Harry Styles,20,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Watermelon Sugar.mp3
choruss\Before You Go_chorus.wav,Before You Go,Lewis Capaldi,21,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Before You Go.mp3
choruss\Falling_chorus.wav,Falling,Trevor Daniel,22,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Falling.mp3
"choruss\10,000 Hours_chorus.wav","10,000 Hours",Dan + Shay & Justin Bieber,23,2020,Not Popular,"C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\10,000 Hours.mp3"
choruss\WAP_chorus.wav,WAP,Cardi B Featuring Megan Thee Stallion,24,2020,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\WAP.mp3
