,title,artist,rank,year,popularity,File Path
298,Slide,H.E.R. Featuring YG,99,2020,Not Popular,audio_files/Slide.mp3
299,Walk Em Down,NLE Choppa Featuring Roddy Ricch,100,2020,Not Popular,audio_files/Walk Em Down.mp3
300,Levitating,Dua Lipa,1,2021,Popular,audio_files/Levitating.mp3
301,Save Your Tears,The Weeknd & Ariana Grande,2,2021,Popular,audio_files/Save Your Tears.mp3
302,Blinding Lights,The Weeknd,3,2021,Not Popular,audio_files/Blinding Lights.mp3
303,Mood,24kGoldn Featuring iann dior,4,2021,Not Popular,audio_files/Mood.mp3
304,Good 4 U,Olivia Rodrigo,5,2021,Popular,audio_files/Good 4 U.mp3
305,Kiss Me More,Doja Cat Featuring SZA,6,2021,Popular,audio_files/Kiss Me More.mp3
306,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),7,2021,Not Popular,audio_files/Leave The Door Open.mp3
307,Drivers License,Olivia Rodrigo,8,2021,Not Popular,audio_files/Drivers License.mp3
308,Montero (Call Me By Your Name),Lil Nas X,9,2021,Not Popular,audio_files/Montero (Call Me By Your Name).mp3
309,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,10,2021,Not Popular,audio_files/Peaches.mp3
310,Butter,BTS,11,2021,Not Popular,audio_files/Butter.mp3
311,Stay,The Kid LAROI & Justin Bieber,12,2021,Popular,audio_files/Stay.mp3
312,Deja Vu,Olivia Rodrigo,13,2021,Not Popular,audio_files/Deja Vu.mp3
313,Positions,Ariana Grande,14,2021,Not Popular,audio_files/Positions.mp3
314,Bad Habits,Ed Sheeran,15,2021,Popular,audio_files/Bad Habits.mp3
315,Heat Waves,Glass Animals,16,2021,Popular,audio_files/Heat Waves.mp3
316,Without You,The Kid LAROI,17,2021,Not Popular,audio_files/Without You.mp3
317,Forever After All,Luke Combs,18,2021,Not Popular,audio_files/Forever After All.mp3
318,Go Crazy,Chris Brown & Young Thug,19,2021,Not Popular,audio_files/Go Crazy.mp3
319,Astronaut In The Ocean,Masked Wolf,20,2021,Not Popular,audio_files/Astronaut In The Ocean.mp3
320,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,21,2021,Not Popular,audio_files/34+35.mp3
321,What You Know Bout Love,Pop Smoke,22,2021,Not Popular,audio_files/What You Know Bout Love.mp3
322,My Ex's Best Friend,Machine Gun Kelly X blackbear,23,2021,Not Popular,audio_files/My Ex's Best Friend.mp3
323,Industry Baby,Lil Nas X & Jack Harlow,24,2021,Popular,audio_files/Industry Baby.mp3
324,Therefore I Am,Billie Eilish,25,2021,Not Popular,audio_files/Therefore I Am.mp3
325,Up,Cardi B,26,2021,Not Popular,audio_files/Up.mp3
326,Fancy Like,Walker Hayes,27,2021,Popular,audio_files/Fancy Like.mp3
327,Dakiti,Bad Bunny & Jhay Cortez,28,2021,Not Popular,audio_files/Dakiti.mp3
328,Best Friend,Saweetie Featuring Doja Cat,29,2021,Not Popular,audio_files/Best Friend.mp3
329,Rapstar,Polo G,30,2021,Not Popular,audio_files/Rapstar.mp3
330,Heartbreak Anniversary,Giveon,31,2021,Not Popular,audio_files/Heartbreak Anniversary.mp3
331,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,32,2021,Not Popular,audio_files/For The Night.mp3
332,Calling My Phone,Lil Tjay Featuring 6LACK,33,2021,Not Popular,audio_files/Calling My Phone.mp3
333,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,34,2021,Not Popular,audio_files/Beautiful Mistakes.mp3
334,Holy,Justin Bieber Featuring Chance The Rapper,35,2021,Not Popular,audio_files/Holy.mp3
335,On Me,Lil Baby,36,2021,Not Popular,audio_files/On Me.mp3
336,You Broke Me First.,Tate McRae,37,2021,Not Popular,audio_files/You Broke Me First..mp3
337,Traitor,Olivia Rodrigo,38,2021,Not Popular,audio_files/Traitor.mp3
338,Back In Blood,Pooh Shiesty Featuring Lil Durk,39,2021,Not Popular,audio_files/Back In Blood.mp3
339,I Hope,Gabby Barrett Featuring Charlie Puth,40,2021,Not Popular,audio_files/I Hope.mp3
340,Dynamite,BTS,41,2021,Not Popular,audio_files/Dynamite.mp3
341,Wockesha,Moneybagg Yo,42,2021,Not Popular,audio_files/Wockesha.mp3
342,You Right,Doja Cat & The Weeknd,43,2021,Popular,audio_files/You Right.mp3
343,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,44,2021,Not Popular,audio_files/Beat Box.mp3
344,Laugh Now Cry Later,Drake Featuring Lil Durk,45,2021,Not Popular,audio_files/Laugh Now Cry Later.mp3
345,Need To Know,Doja Cat,46,2021,Popular,audio_files/Need To Know.mp3
346,Wants And Needs,Drake Featuring Lil Baby,47,2021,Not Popular,audio_files/Wants And Needs.mp3
347,Way 2 Sexy,Drake Featuring Future & Young Thug,48,2021,Not Popular,audio_files/Way 2 Sexy.mp3
348,Telepatia,Kali Uchis,49,2021,Not Popular,audio_files/Telepatia.mp3
349,Whoopty,CJ,50,2021,Not Popular,audio_files/Whoopty.mp3
350,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,51,2021,Not Popular,audio_files/Lemonade.mp3
351,Good Days,SZA,52,2021,Not Popular,audio_files/Good Days.mp3
352,Starting Over,Chris Stapleton,53,2021,Not Popular,audio_files/Starting Over.mp3
353,Body,Megan Thee Stallion,54,2021,Not Popular,audio_files/Body.mp3
354,Willow,Taylor Swift,55,2021,Not Popular,audio_files/Willow.mp3
355,Bang!,AJR,56,2021,Not Popular,audio_files/Bang!.mp3
356,Better Together,Luke Combs,57,2021,Not Popular,audio_files/Better Together.mp3
357,You're Mines Still,Yung Bleu Featuring Drake,58,2021,Not Popular,audio_files/You're Mines Still.mp3
358,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,59,2021,Not Popular,audio_files/Every Chance I Get.mp3
359,Essence,Wizkid Featuring Justin Bieber & Tems,60,2021,Popular,audio_files/Essence.mp3
360,Chasing After You,Ryan Hurd With Maren Morris,61,2021,Not Popular,audio_files/Chasing After You.mp3
361,The Good Ones,Gabby Barrett,62,2021,Not Popular,audio_files/The Good Ones.mp3
362,Leave Before You Love Me,Marshmello X Jonas Brothers,63,2021,Not Popular,audio_files/Leave Before You Love Me.mp3
363,Glad You Exist,Dan + Shay,64,2021,Not Popular,audio_files/Glad You Exist.mp3
364,Lonely,Justin Bieber & benny blanco,65,2021,Not Popular,audio_files/Lonely.mp3
365,Beggin',Maneskin,66,2021,Not Popular,audio_files/Beggin'.mp3
366,Streets,Doja Cat,67,2021,Not Popular,audio_files/Streets.mp3
367,What's Next,Drake,68,2021,Not Popular,audio_files/What's Next.mp3
368,Famous Friends,Chris Young + Kane Brown,69,2021,Not Popular,audio_files/Famous Friends.mp3
369,Lil Bit,Nelly & Florida Georgia Line,70,2021,Not Popular,audio_files/Lil Bit.mp3
370,Thot Shit,Megan Thee Stallion,71,2021,Not Popular,audio_files/Thot Shit.mp3
371,Late At Night,Roddy Ricch,72,2021,Not Popular,audio_files/Late At Night.mp3
372,Kings & Queens,Ava Max,73,2021,Not Popular,audio_files/Kings & Queens.mp3
373,Anyone,Justin Bieber,74,2021,Not Popular,audio_files/Anyone.mp3
374,Track Star,Mooski,75,2021,Not Popular,audio_files/Track Star.mp3
375,Time Today,Moneybagg Yo,76,2021,Not Popular,audio_files/Time Today.mp3
376,Cry Baby,Megan Thee Stallion Featuring DaBaby,77,2021,Not Popular,audio_files/Cry Baby.mp3
377,All I Want For Christmas Is You,Mariah Carey,78,2021,Popular,audio_files/All I Want For Christmas Is You.mp3
378,No More Parties,Coi Leray Featuring Lil Durk,79,2021,Not Popular,audio_files/No More Parties.mp3
379,What's Your Country Song,Thomas Rhett,80,2021,Not Popular,audio_files/What's Your Country Song.mp3
380,One Too Many,Keith Urban Duet With P!nk,81,2021,Not Popular,audio_files/One Too Many.mp3
381,Arcade,Duncan Laurence,82,2021,Not Popular,audio_files/Arcade.mp3
382,Yonaguni,Bad Bunny,83,2021,Not Popular,audio_files/Yonaguni.mp3
383,Good Time,Niko Moon,84,2021,Not Popular,audio_files/Good Time.mp3
384,If I Didn't Love You,Jason Aldean & Carrie Underwood,85,2021,Not Popular,audio_files/If I Didn't Love You.mp3
385,Knife Talk,Drake Featuring 21 Savage & Project Pat,86,2021,Popular,audio_files/Knife Talk.mp3
386,pov,Ariana Grande,87,2021,Not Popular,audio_files/pov.mp3
387,Just The Way,Parmalee x Blanco Brown,88,2021,Not Popular,audio_files/Just The Way.mp3
388,Take My Breath,The Weeknd,89,2021,Not Popular,audio_files/Take My Breath.mp3
389,We're Good,Dua Lipa,90,2021,Not Popular,audio_files/We're Good.mp3
390,Hell Of A View,Eric Church,91,2021,Not Popular,audio_files/Hell Of A View.mp3
391,Rockin' Around The Christmas Tree,Brenda Lee,92,2021,Popular,audio_files/Rockin' Around The Christmas Tree.mp3
392,Put Your Records On,Ritt Momney,93,2021,Not Popular,audio_files/Put Your Records On.mp3
393,Happier Than Ever,Billie Eilish,94,2021,Not Popular,audio_files/Happier Than Ever.mp3
394,Single Saturday Night,Cole Swindell,95,2021,Not Popular,audio_files/Single Saturday Night.mp3
395,Things A Man Oughta Know,Lainey Wilson,96,2021,Not Popular,audio_files/Things A Man Oughta Know.mp3
396,Throat Baby (Go Baby),BRS Kash,97,2021,Not Popular,audio_files/Throat Baby (Go Baby).mp3
397,Tombstone,Rod Wave,98,2021,Not Popular,audio_files/Tombstone.mp3
398,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,99,2021,Not Popular,audio_files/Drinkin' Beer. Talkin' God. Amen..mp3
399,Todo de Ti,Rauw Alejandro,100,2021,Not Popular,audio_files/Todo de Ti.mp3
400,Heat Waves,Glass Animals,1,2022,Popular,audio_files/Heat Waves.mp3
401,As It Was,Harry Styles,2,2022,Not Popular,audio_files/As It Was.mp3
402,Stay,The Kid LAROI & Justin Bieber,3,2022,Popular,audio_files/Stay.mp3
403,Easy On Me,Adele,4,2022,Not Popular,audio_files/Easy On Me.mp3
404,Shivers,Ed Sheeran,5,2022,Not Popular,audio_files/Shivers.mp3
405,First Class,Jack Harlow,6,2022,Not Popular,audio_files/First Class.mp3
406,Big Energy,Latto,7,2022,Not Popular,audio_files/Big Energy.mp3
407,Ghost,Justin Bieber,8,2022,Not Popular,audio_files/Ghost.mp3
408,Super Gremlin,Kodak Black,9,2022,Not Popular,audio_files/Super Gremlin.mp3
409,Cold Heart (PNAU Remix),Elton John & Dua Lipa,10,2022,Not Popular,audio_files/Cold Heart (PNAU Remix).mp3
410,Wait For U,Future Featuring Drake & Tems,11,2022,Not Popular,audio_files/Wait For U.mp3
411,About Damn Time,Lizzo,12,2022,Not Popular,audio_files/About Damn Time.mp3
412,Bad Habits,Ed Sheeran,13,2022,Popular,audio_files/Bad Habits.mp3
413,Thats What I Want,Lil Nas X,14,2022,Not Popular,audio_files/Thats What I Want.mp3
414,Enemy,Imagine Dragons X JID,15,2022,Not Popular,audio_files/Enemy.mp3
415,Industry Baby,Lil Nas X & Jack Harlow,16,2022,Popular,audio_files/Industry Baby.mp3
416,abcdefu,GAYLE,17,2022,Not Popular,audio_files/abcdefu.mp3
417,Need To Know,Doja Cat,18,2022,Popular,audio_files/Need To Know.mp3
418,Wasted On You,Morgan Wallen,19,2022,Not Popular,audio_files/Wasted On You.mp3
419,Me Porto Bonito,Bad Bunny & Chencho Corleone,20,2022,Not Popular,audio_files/Me Porto Bonito.mp3
420,Woman,Doja Cat,21,2022,Not Popular,audio_files/Woman.mp3
421,Titi Me Pregunto,Bad Bunny,22,2022,Not Popular,audio_files/Titi Me Pregunto.mp3
422,Running Up That Hill (A Deal With God),Kate Bush,23,2022,Not Popular,audio_files/Running Up That Hill (A Deal With God).mp3
423,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",24,2022,Not Popular,audio_files/We Don't Talk About Bruno.mp3
424,Late Night Talking,Harry Styles,25,2022,Not Popular,audio_files/Late Night Talking.mp3
425,I Like You (A Happier Song),Post Malone Featuring Doja Cat,26,2022,Not Popular,audio_files/I Like You (A Happier Song).mp3
426,You Proof,Morgan Wallen,27,2022,Not Popular,audio_files/You Proof.mp3
427,Bad Habit,Steve Lacy,28,2022,Not Popular,audio_files/Bad Habit.mp3
428,Sunroof,Nicky Youre & dazy,29,2022,Not Popular,audio_files/Sunroof.mp3
429,One Right Now,Post Malone & The Weeknd,30,2022,Not Popular,audio_files/One Right Now.mp3
430,Good 4 U,Olivia Rodrigo,31,2022,Popular,audio_files/Good 4 U.mp3
431,Numb Little Bug,Em Beihold,32,2022,Not Popular,audio_files/Numb Little Bug.mp3
432,Jimmy Cooks,Drake Featuring 21 Savage,33,2022,Not Popular,audio_files/Jimmy Cooks.mp3
433,'Til You Can't,Cody Johnson,34,2022,Not Popular,audio_files/'Til You Can't.mp3
434,Fancy Like,Walker Hayes,35,2022,Popular,audio_files/Fancy Like.mp3
435,The Kind Of Love We Make,Luke Combs,36,2022,Not Popular,audio_files/The Kind Of Love We Make.mp3
436,I Ain't Worried,OneRepublic,37,2022,Not Popular,audio_files/I Ain't Worried.mp3
437,Break My Soul,Beyonce,38,2022,Not Popular,audio_files/Break My Soul.mp3
438,Something In The Orange,Zach Bryan,39,2022,Not Popular,audio_files/Something In The Orange.mp3
439,Save Your Tears,The Weeknd & Ariana Grande,40,2022,Popular,audio_files/Save Your Tears.mp3
440,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),41,2022,Not Popular,audio_files/Smokin Out The Window.mp3
441,Levitating,Dua Lipa,42,2022,Popular,audio_files/Levitating.mp3
442,In A Minute,Lil Baby,43,2022,Not Popular,audio_files/In A Minute.mp3
443,Moscow Mule,Bad Bunny,44,2022,Not Popular,audio_files/Moscow Mule.mp3
444,You Right,Doja Cat & The Weeknd,45,2022,Popular,audio_files/You Right.mp3
445,She Had Me At Heads Carolina,Cole Swindell,46,2022,Not Popular,audio_files/She Had Me At Heads Carolina.mp3
446,Vegas,Doja Cat,47,2022,Not Popular,audio_files/Vegas.mp3
447,Pushin P,Gunna & Future Featuring Young Thug,48,2022,Not Popular,audio_files/Pushin P.mp3
448,Buy Dirt,Jordan Davis Featuring Luke Bryan,49,2022,Not Popular,audio_files/Buy Dirt.mp3
449,I Hate U,SZA,50,2022,Not Popular,audio_files/I Hate U.mp3
450,Boyfriend,Dove Cameron,51,2022,Popular,audio_files/Boyfriend.mp3
451,Glimpse Of Us,Joji,52,2022,Not Popular,audio_files/Glimpse Of Us.mp3
452,Surface Pressure,Jessica Darrow,53,2022,Not Popular,audio_files/Surface Pressure.mp3
453,Fall In Love,Bailey Zimmerman,54,2022,Not Popular,audio_files/Fall In Love.mp3
454,Love Nwantiti (Ah Ah Ah),CKay,55,2022,Not Popular,audio_files/Love Nwantiti (Ah Ah Ah).mp3
455,Super Freaky Girl,Nicki Minaj,56,2022,Not Popular,audio_files/Super Freaky Girl.mp3
456,Hrs And Hrs,Muni Long,57,2022,Not Popular,audio_files/Hrs And Hrs.mp3
457,Sand In My Boots,Morgan Wallen,58,2022,Not Popular,audio_files/Sand In My Boots.mp3
458,MAMIII,Becky G X Karol G,59,2022,Not Popular,audio_files/MAMIII.mp3
459,Knife Talk,Drake Featuring 21 Savage & Project Pat,60,2022,Popular,audio_files/Knife Talk.mp3
460,AA,Walker Hayes,61,2022,Not Popular,audio_files/AA.mp3
461,Sweetest Pie,Megan Thee Stallion & Dua Lipa,62,2022,Not Popular,audio_files/Sweetest Pie.mp3
462,Provenza,Karol G,63,2022,Not Popular,audio_files/Provenza.mp3
463,Essence,Wizkid Featuring Justin Bieber & Tems,64,2022,Popular,audio_files/Essence.mp3
464,All I Want For Christmas Is You,Mariah Carey,65,2022,Popular,audio_files/All I Want For Christmas Is You.mp3
465,Bam Bam,Camila Cabello Featuring Ed Sheeran,66,2022,Not Popular,audio_files/Bam Bam.mp3
466,5 Foot 9,Tyler Hubbard,67,2022,Not Popular,audio_files/5 Foot 9.mp3
467,Get Into It (Yuh),Doja Cat,68,2022,Not Popular,audio_files/Get Into It (Yuh).mp3
468,Efecto,Bad Bunny,69,2022,Not Popular,audio_files/Efecto.mp3
469,Rock And A Hard Place,Bailey Zimmerman,70,2022,Not Popular,audio_files/Rock And A Hard Place.mp3
470,Doin' This,Luke Combs,71,2022,Not Popular,audio_files/Doin' This.mp3
471,Oh My God,Adele,72,2022,Not Popular,audio_files/Oh My God.mp3
472,Better Days,NEIKED X Mae Muller X Polo G,73,2022,Not Popular,audio_files/Better Days.mp3
473,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,74,2022,Not Popular,audio_files/Meet Me At Our Spot.mp3
474,Fingers Crossed,Lauren Spencer-Smith,75,2022,Not Popular,audio_files/Fingers Crossed.mp3
475,All Too Well (Taylor's Version),Taylor Swift,76,2022,Not Popular,audio_files/All Too Well (Taylor's Version).mp3
476,Party,Bad Bunny & Rauw Alejandro,77,2022,Not Popular,audio_files/Party.mp3
477,Despues de La Playa,Bad Bunny,78,2022,Not Popular,audio_files/Despues de La Playa.mp3
478,You Should Probably Leave,Chris Stapleton,79,2022,Not Popular,audio_files/You Should Probably Leave.mp3
479,Rockin' Around The Christmas Tree,Brenda Lee,80,2022,Popular,audio_files/Rockin' Around The Christmas Tree.mp3
480,Broadway Girls,Lil Durk Featuring Morgan Wallen,81,2022,Not Popular,audio_files/Broadway Girls.mp3
481,Take My Name,Parmalee,82,2022,Not Popular,audio_files/Take My Name.mp3
482,What Happened To Virgil,Lil Durk Featuring Gunna,83,2022,Not Popular,audio_files/What Happened To Virgil.mp3
483,Puffin On Zootiez,Future,84,2022,Not Popular,audio_files/Puffin On Zootiez.mp3
484,Like I Love Country Music,Kane Brown,85,2022,Not Popular,audio_files/Like I Love Country Music.mp3
485,Jingle Bell Rock,Bobby Helms,86,2022,Not Popular,audio_files/Jingle Bell Rock.mp3
486,Ojitos Lindos,Bad Bunny & Bomba Estereo,87,2022,Not Popular,audio_files/Ojitos Lindos.mp3
487,Trouble With A Heartbreak,Jason Aldean,88,2022,Not Popular,audio_files/Trouble With A Heartbreak.mp3
488,A Holly Jolly Christmas,Burl Ives,89,2022,Not Popular,audio_files/A Holly Jolly Christmas.mp3
489,Kiss Me More,Doja Cat Featuring SZA,90,2022,Popular,audio_files/Kiss Me More.mp3
490,She Likes It,Russell Dickerson & Jake Scott,91,2022,Not Popular,audio_files/She Likes It.mp3
491,Never Say Never,Cole Swindell / Lainey Wilson,92,2022,Not Popular,audio_files/Never Say Never.mp3
492,Damn Strait,Scotty McCreery,93,2022,Not Popular,audio_files/Damn Strait.mp3
493,She's All I Wanna Be,Tate McRae,94,2022,Not Popular,audio_files/She's All I Wanna Be.mp3
494,Last Night Lonely,Jon Pardi,95,2022,Not Popular,audio_files/Last Night Lonely.mp3
495,Flower Shops,ERNEST Featuring Morgan Wallen,96,2022,Not Popular,audio_files/Flower Shops.mp3
496,To The Moon!,JNR CHOI & Sam Tompkins,97,2022,Not Popular,audio_files/To The Moon!.mp3
497,Unholy,Sam Smith & Kim Petras,98,2022,Not Popular,audio_files/Unholy.mp3
498,One Mississippi,Kane Brown,99,2022,Not Popular,audio_files/One Mississippi.mp3
499,Circles Around This Town,Maren Morris,100,2022,Not Popular,audio_files/Circles Around This Town.mp3
